date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:31	64569/64569	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Oct%202023%2020:21:31%20GMT	https://deliciasdiabeticas.webnode.es/	C:/My%20Web%20Sites/diabetes/deliciasdiabeticas.webnode.es/index.html	(from )
22:21:31	135/135	---M--	200	added ('OK')	text/plain	date:Thu,%2005%20Oct%202023%2018:34:38%20GMT	https://deliciasdiabeticas.webnode.es/robots.txt		(from )
22:21:32	8553/8553	---MCZ	200	added ('OK')	text/css	etag:W/%225990e151f4ee2e9e8a54dc9b47abeccc%22	https://d1di2lzuh97fh2.cloudfront.net/files/1j/1jw/1jwyl1.css?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/files/1j/1jw/1jwyl1ea77.css	(from https://deliciasdiabeticas.webnode.es/)
22:21:32	443448/443448	---MCZ	200	added ('OK')	text/css	etag:W/%2284b21df8171986a7d285a95252a06bac%22	https://d1di2lzuh97fh2.cloudfront.net/files/2a/2au/2auacf.css?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/files/2a/2au/2auacfea77.css	(from https://deliciasdiabeticas.webnode.es/)
22:21:32	328006/328006	---MCZ	200	added ('OK')	text/css	etag:W/%223f07e175261bbf1039d433cb584a18d0%22	https://d1di2lzuh97fh2.cloudfront.net/files/13/13c/13clcn.css?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/files/13/13c/13clcnea77.css	(from https://deliciasdiabeticas.webnode.es/)
22:21:33	253972/253972	---MCZ	200	added ('OK')	text/css	etag:W/%2244ac64b42f777a21ee182f5b724381c9%22	https://d1di2lzuh97fh2.cloudfront.net/files/16/16v/16veq3.css?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/files/16/16v/16veq3ea77.css	(from https://deliciasdiabeticas.webnode.es/)
22:21:33	343630/343630	---MCZ	200	added ('OK')	text/css	etag:W/%22fd4b72250eb592aad387d8e0567efb47%22	https://d1di2lzuh97fh2.cloudfront.net/files/4e/4e4/4e4pb6.css?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/files/4e/4e4/4e4pb6ea77.css	(from https://deliciasdiabeticas.webnode.es/)
22:21:33	247756/247756	---MCZ	200	added ('OK')	text/css	etag:W/%2276ab977db999e209ac94021aeddfbcb4%22	https://d1di2lzuh97fh2.cloudfront.net/files/22/223/2232if.css?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/files/22/223/2232ifea77.css	(from https://deliciasdiabeticas.webnode.es/)
22:21:33	183/183	---M--	200	added ('OK')	text/css	etag:%229f33a5e87ab3f07dd87e2a9f8ef5a9bb%22	https://d1di2lzuh97fh2.cloudfront.net/files/2r/2rd/2rdzz2.css?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/files/2r/2rd/2rdzz2ea77.css	(from https://deliciasdiabeticas.webnode.es/)
22:21:33	68848/68848	---MCZ	200	added ('OK')	text/css	etag:W/%224fa016bb13feeb49657e621d66120c5b%22	https://d1di2lzuh97fh2.cloudfront.net/files/1d/1dp/1dpjsb.css?ph=c3664e0b2f	C:/My%20Web%20Sites/diabetes/d1di2lzuh97fh2.cloudfront.net/files/1d/1dp/1dpjsbea77.css	(from https://deliciasdiabeticas.webnode.es/)
